time,CPI,wage,return of equity,10 year,3 month
1985/6/15,0.002798507,0.006056779,10.32892471,10.465,6.83
1985/7/15,0.001860465,0.004023054,5.772721318,10.554,7.25
1985/8/15,0.00185701,0.003182813,3.973705763,10.759,7.37
1985/9/15,0.001853568,0.006288774,2.428537817,10.351,7.26
1985/10/15,0.003700278,0.006502829,2.462707417,10.355,7.41
1985/11/15,0.004608295,0.004950495,7.740571135,10.157,7.39
1985/12/15,0.004587156,0.009490412,8.702454968,9.608,7.26
1986/1/15,0.003652968,0.002894795,9.217585553,9.198,7.16
1986/2/15,-0.001819836,0.004920692,5.038458917,9.198,7.24
1986/3/15,-0.005469462,0.007249152,8.966141335,8.365,6.54
1986/4/15,-0.003666361,0.001412238,7.761951025,8.029,6.27
1986/5/15,0.00275989,0.003254414,3.468505571,8.073,6.28
1986/6/15,0.003669725,0.004352175,7.541394795,7.867,6.12
1986/7/15,0.000914077,0.005409915,6.106676461,7.366,5.96
1986/8/15,0.000913242,0.003747825,-3.296540232,7.352,5.32
1986/9/15,0.003649635,0.004613949,10.94102294,7.149,5.33
1986/10/15,0.001818182,0.002495487,-4.062430712,7.382,5.34
1986/11/15,0.001814882,0.003919284,8.64260274,7.32,5.53
1986/12/15,0.003623188,0.005486679,4.722213181,7.21,5.84
1987/1/15,0.005415162,0.003935149,0.74750251,7.236,5.74
1987/2/15,0.003590664,0.006950977,17.23534542,7.232,5.6
1987/3/15,0.003577818,0.005138319,5.399325375,7.202,5.79
1987/4/15,0.004456328,0.003098213,6.298021201,7.41,5.66
1987/5/15,0.002661934,0.008596726,1.558840932,7.817,5.81
1987/6/15,0.004424779,0.002832644,3.674934903,8.471,5.89
1987/7/15,0.002643172,0.005903759,7.463341269,8.421,6.06
1987/8/15,0.004393673,0.009208429,7.699339143,8.668,6.48
1987/9/15,0.003499563,0.004161131,4.625815726,8.88,6.81
1987/10/15,0.002615519,0.009510971,3.985213358,9.225,5.18
1987/11/15,0.003478261,0.006355094,-18.28783979,8.829,5.39
1987/12/15,0.001733102,0.012777355,-5.296412512,8.947,5.85
1988/1/15,0.003460208,0.002280612,10.28,8.869,5.81
1988/2/15,0.001724138,0.005422285,6.901628622,8.523,5.78
1988/3/15,0.002581756,0.005585651,8.325721455,8.138,5.89
1988/4/15,0.006008584,0.007182704,0.592718359,8.366,6.17
1988/5/15,0.002559727,0.00370837,4.761326046,8.553,6.62
1988/6/15,0.004255319,0.007602492,5.631309069,9.005,6.75
1988/7/15,0.004237288,0.009284505,5.518582999,8.87,7.17
1988/8/15,0.004219409,0.005542747,3.788216204,9.034,7.54
1988/9/15,0.004201681,0.006369132,-1.231657176,9.25,7.49
1988/10/15,0.00334728,0.008906379,8.723545578,9.011,7.61
1988/11/15,0.003336113,0.002760099,6.439980102,8.913,8.09
1988/12/15,0.003325021,0.008826206,1.385667598,8.953,8.39
1989/1/15,0.004142502,0.014634256,5.589336489,9.03,8.68
1989/2/15,0.00330033,0.006467098,10.47465073,8.934,9.02
1989/3/15,0.004934211,0.008986928,0.320748595,9.167,9.2
1989/4/15,0.007364975,0.002779298,6.862210651,9.073,8.7
1989/5/15,0.004874086,-0.000720178,7.805016701,9.024,8.93
1989/6/15,0.00323363,0.004979362,7.536961698,8.822,8.26
1989/7/15,0.003223207,0.005845666,2.588989036,8.531,8.05
1989/8/15,0,0.002290109,10.90098236,8.355,8.17
1989/9/15,0.002409639,0.004742197,6.053272727,8.095,8.14
1989/10/15,0.004807692,0.00834549,2.381473723,8.15,8.04
1989/11/15,0.003987241,0.00325525,0.533993502,7.938,7.85
1989/12/15,0.003177125,0.003732451,5.983774912,7.839,7.85
1990/1/15,0.009501188,0.010437355,4.01000656,7.903,8
1990/2/15,0.003921569,0.007590331,-3.503780419,8.165,8.05
1990/3/15,0.0046875,0.004129745,4.631374738,8.548,8.05
1990/4/15,0.002332815,0.008060183,5.181188315,8.58,8.05
1990/5/15,0.00155159,0.000143513,1.525659876,8.82,8.01
1990/6/15,0.006196747,0.006662157,12.43323552,8.636,8
1990/7/15,0.004618938,0.005722082,2.153194184,8.62,7.73
1990/8/15,0.008429119,0.000587175,2.091904656,8.541,7.62
1990/9/15,0.006838906,0.005949249,-5.710927093,8.808,7.37
1990/10/15,0.006792453,-0.002393788,1.28764881,8.731,7.36
1990/11/15,0.002248876,0.001189684,1.225235283,8.645,7.25
1990/12/15,0.003739716,0.005820511,9.113155495,8.338,6.63
1991/1/15,0.003725782,-0.003504135,5.388306078,8.262,6.38
1991/2/15,0.00074239,0.001326207,7.235288595,8.173,6.2
1991/3/15,0,0.001685664,11.03300394,7.946,5.91
1991/4/15,0.002225519,0.005248818,3.254039733,7.906,5.7
1991/5/15,0.003700962,0.004045598,5.341222731,7.908,5.68
1991/6/15,0.002949853,0.006927215,4.913177575,8.071,5.69
1991/7/15,0.001470588,-0.000729351,0.33700201,8.14,5.69
1991/8/15,0.002936858,0.003905865,5.294377646,8.088,5.48
1991/9/15,0.002928258,0.006602346,4.956621203,7.843,5.26
1991/10/15,0.001459854,0.003279521,1.264499911,7.648,4.95
1991/11/15,0.004373178,0.004183286,3.384707091,7.662,4.47
1991/12/15,0.002902758,0.011180004,0.364990289,7.405,3.95
1992/1/15,0.000723589,0.006879108,11.99762979,7.094,3.94
1992/2/15,0.002169197,0.008012028,0.887441559,7.423,4.02
1992/3/15,0.003607504,0.004247928,3.413012478,7.435,4.15
1992/4/15,0.002156722,0.006617536,0.767031155,7.472,3.79
1992/5/15,0.00215208,0.006704766,4.803286495,7.521,3.8
1992/6/15,0.002863278,0.006010797,3.866279543,7.44,3.65
1992/7/15,0.002855103,0.002378889,1.690809969,7.293,3.25
1992/8/15,0.002135231,0.005151225,5.627275722,7.103,3.23
1992/9/15,0.002130682,-0.002562413,0.638096403,6.46,2.74
1992/10/15,0.004252303,-0.001339548,2.822875718,6.304,3.02
1992/11/15,0.002822865,0.003197178,4.26180283,6.602,3.34
1992/12/15,0.00140746,0.038152279,4.529467771,6.628,3.15
