time,CPI,wage,equity index dividend yield,equity price index,10 year,3 month,cpi_1,w_1,ey_1,ed_1,lt_3,st_1,st_2,st_3,st_4
1989/9/15,0.005640612,0.012930004,0.03158276,0.098642731,0.081497303,0.081953412,-0.018652756,0.005883281,-0.022774148,-0.002312533,-0.008702327,-0.001216456,-0.010753724,-0.002534556,0.006584939
1989/12/15,0.012019231,0.015403759,0.032286481,-0.008763746,0.078903198,0.079014641,-0.016882722,0.002473755,-0.107406477,0.000703721,-0.013468868,-0.002938771,-0.004155227,-0.013692495,-0.005473327
1990/3/15,0.01821061,0.02231143,0.034398134,-0.051022445,0.086090348,0.081041228,-0.012086704,0.006907671,-0.042258699,0.002111653,-0.002779805,0.002026587,-0.000912184,-0.00212864,-0.011665908
1990/6/15,0.010108865,0.014921672,0.031381712,0.091422732,0.086982995,0.080534519,-0.01646004,-0.007389758,0.142445177,-0.003016422,0.005485692,-0.000506709,0.001519878,-0.001418893,-0.002635349
1990/9/15,0.020015396,0.012299422,0.035705718,-0.111796453,0.088728089,0.074153567,-0.023406296,-0.00262225,-0.203219185,0.004324006,0.009824891,-0.006380952,-0.006887661,-0.004861074,-0.007799845
1990/12/15,0.012830189,0.004606534,0.035605124,0.004774306,0.083960694,0.066666982,-0.03099859,-0.007692888,0.116570759,-0.000100594,-0.002129654,-0.007486585,-0.013867537,-0.014374246,-0.012347659
1991/3/15,0.004470939,-0.000500591,0.030477078,0.143073126,0.079987319,0.059391545,-0.030977669,-0.005107125,0.13829882,-0.005128046,-0.006995676,-0.007275437,-0.014762022,-0.021142974,-0.021649683
1991/6/15,0.008902077,0.016307396,0.028768696,0.047480228,0.081254059,0.057170227,-0.0124613,0.016807987,-0.095592898,-0.001708382,-0.00747403,-0.002221318,-0.009496755,-0.01698334,-0.023364292
1991/9/15,0.007352941,0.009796964,0.028165852,0.018991908,0.078943722,0.0528309,-0.018368888,-0.006510432,-0.02848832,-0.000602844,-0.005016972,-0.004339327,-0.006560645,-0.013836082,-0.021322667
1991/12/15,0.008759124,0.018740118,0.02907014,-0.035480363,0.07450789,0.039630163,-0.010330022,0.008943154,-0.054472271,0.000904288,-0.005479429,-0.013200737,-0.017540064,-0.019761382,-0.027036819
1992/3/15,0.006512301,0.01925767,0.027060796,0.081410593,0.074811612,0.041643686,-0.007803126,0.000517552,0.116890956,-0.002009344,-0.006442447,0.002013523,-0.011187214,-0.015526541,-0.017747859
1992/6/15,0.007189073,0.019457813,0.027161247,0.011759001,0.074862233,0.036611133,-0.007703434,0.000200143,-0.069651592,0.000100451,-0.004081489,-0.005032553,-0.00301903,-0.016219767,-0.020559094
1992/9/15,0.007137759,0.004960628,0.027663529,-0.00294752,0.064948387,0.027462611,-0.022702901,-0.014497185,-0.014706521,0.000502282,-0.009559503,-0.009148522,-0.014181075,-0.012167552,-0.025368289
1992/12/15,0.008504607,0.040076336,0.026357683,0.035354628,0.066646761,0.03158276,0.013718653,0.035115708,0.038302148,-0.001305846,-0.008164851,0.004120149,-0.005028373,-0.010060926,-0.008047403
1993/3/15,0.007027407,-0.018260409,0.02575508,0.026068991,0.061381323,0.029673073,-0.044015489,-0.058336745,-0.009285637,-0.000602603,-0.01348091,-0.001909687,0.002210462,-0.00693806,-0.011970613
1993/6/15,0.006978367,0.01128583,0.025152537,0.026741476,0.061947063,0.031080152,-0.013866707,0.029546239,0.000672485,-0.000602543,-0.003001324,0.001407079,-0.000502608,0.003617541,-0.005530981
1993/9/15,0.004851005,0.00764132,0.024851289,0.020536324,0.056483802,0.029874065,-0.017209969,-0.00364451,-0.006205152,-0.000301248,-0.010162959,-0.001206087,0.000200992,-0.001708695,0.002411454
1993/12/15,0.008965517,0.03802268,0.02505212,-0.002720501,0.0579375,0.030175564,0.01297056,0.03038136,-0.023256825,0.000200831,-0.003443823,0.000301499,-0.000904588,0.000502491,-0.001407196
1994/3/15,0.005468216,-0.010329771,0.025152537,0.005520795,0.060835837,0.035806313,-0.035482308,-0.048352451,0.008241296,0.000100417,-0.001111226,0.005630749,0.005932248,0.004726161,0.00613324
1994/6/15,0.005438477,0.015330209,0.026056374,-0.01466282,0.07223046,0.042449283,-0.010726165,0.02565998,-0.020183615,0.000903837,0.015746658,0.00664297,0.012273719,0.012575218,0.011369131
1994/9/15,0.009465855,0.014253348,0.025554226,0.033957564,0.072574551,0.048091455,-0.011300878,-0.001076861,0.048620384,-0.000502148,0.014637051,0.005642172,0.012285142,0.017915891,0.01821739
1994/12/15,0.005358339,0.017453782,0.0272617,-0.051250079,0.079490828,0.057271179,-0.009807918,0.003200434,-0.085207643,0.001707474,0.018654991,0.009179724,0.014821896,0.021464866,0.027095615
1995/3/15,0.007328448,0.015958318,0.025554226,0.081818587,0.074021967,0.059088591,-0.009595908,-0.001495464,0.133068666,-0.001707474,0.001791507,0.001817412,0.010997136,0.016639308,0.023282278
1995/6/15,0.007936508,0.010143852,0.023646444,0.098507155,0.063887144,0.056867383,-0.013502592,-0.005814466,0.016688568,-0.001907782,-0.008687407,-0.002221208,-0.000403796,0.008775928,0.0144181
1995/9/15,0.004593176,0.012803934,0.022742968,0.056889539,0.064028633,0.054445172,-0.009939034,0.002660082,-0.041617616,-0.000903476,-0.015462195,-0.002422211,-0.004643419,-0.002826007,0.006353717
1995/12/15,0.005225343,0.011113038,0.021237475,0.076511067,0.058300979,0.051015357,-0.010124437,-0.001690896,0.019621528,-0.001505493,-0.015720988,-0.003429815,-0.005852026,-0.008073234,-0.006255822
1996/3/15,0.010396361,0.022527438,0.0204347,0.061600053,0.05807885,0.051721337,0.002092738,0.0114144,-0.014911014,-0.000802775,-0.005808294,0.00070598,-0.002723835,-0.005146046,-0.007367254
1996/6/15,0.007717042,0.018844623,0.019933019,0.036174868,0.069104173,0.051822198,-0.001088396,-0.003682815,-0.025425185,-0.000501681,0.00507554,0.000100861,0.000806841,-0.002622974,-0.005045185
1996/9/15,0.006381621,0.009996259,0.020836074,-0.023499281,0.070146091,0.050611976,-0.010839815,-0.008848364,-0.059674149,0.000903055,0.011845112,-0.001210222,-0.001109361,-0.000403381,-0.003833196
1996/12/15,0.008877616,0.013423614,0.017926714,0.160385895,0.063301013,0.051721337,-0.0045031,0.003427355,0.183885176,-0.00290936,0.005222163,0.001109361,-0.000100861,0,0.00070598
1997/3/15,0.004399749,0.018889165,0.017525533,0.051218674,0.064301512,0.053637982,0.001363632,0.005465551,-0.109167221,-0.000401181,-0.004802661,0.001916645,0.003026006,0.001815784,0.001916645
